dataset,train_RSE,test_RSE,train_R2,test_R2,train_MSE,test_MES,equation
1DL,0.051492556839344394,0.05904083518401951,0.9098549210099893,0.8448972952570272,0.0025851963246067856,0.0031372381973039003,y = 0.1911 + (0.5603)b1
1DM,0.1115046671009873,0.1355932686301666,0.4625826010245947,0.11610318361981453,0.01212245851566945,0.016546981048031272,y = 0.3832 + (0.3543)b1
1DH,0.13661703928251848,0.14762985634156703,0.3418716159331979,0.010483779270371918,0.01819761003676317,0.019615117035088548,y = 0.3012 + (0.3373)b1
2DL,0.051767819353341786,0.061272504965404616,0.9170449458617658,0.825894936795398,0.0025794106035777194,0.0031911718850252033,y = 0.1950 + (0.5604)b1 + (-0.1753)b2
2DM,0.11085107382555891,0.13881863407062942,0.4927659752554553,0.2569433095906304,0.011827162046969032,0.01638002119045002,y = 0.3115 + (0.3549)b1 + (0.1075)b2
2DH,0.13656075685941685,0.1544947585863837,0.3712982113704526,0.2138677224663278,0.017949508802241138,0.02028833586606523,y = 0.3270 + (0.3377)b1 + (0.1127)b2
3DL,0.05165171512921678,0.060504338957083924,0.9272667675826393,0.9050439345133056,0.0025345046920002734,0.0029286200261069628,y = 0.2069 + (0.5606)b1 + (-0.1735)b2 + (0.2253)b3
3DM,0.11148637193955761,0.14270890197218414,0.5847024046401565,0.25623484576838973,0.011807750571833111,0.016292664561685172,y = 0.4191 + (0.3550)b1 + (0.1086)b2 + (-0.2641)b3
3DH,0.1374568065427784,0.15921464605595398,0.46515426274697425,0.4239732379765794,0.017949654981691866,0.02027944281497816,y = 0.3283 + (0.3378)b1 + (0.1129)b2 + (0.2363)b3
